"Tipo de contacto","Fecha hora contacto","Coorde.nadaX","coorden.adaY"
"Captura",2011-04-02,455459,3098279
"Recogida",2011-04-02,455279,3098185
"Recogida",2011-04-04,457639,3096932
"Captura",2011-04-04,455335,3098279.01
"Captura",2011-04-04,455387,3098212
"Recogida",2011-04-04,455427,3098235.01
"Captura",2011-04-04,455123,3098410
"Recogida",2011-04-05,455078,3098180
"Recogida",2011-04-05,455427,3098224.01
"Captura",2011-04-05,432697,3111046
"Captura",2011-04-05,432728,3110970
"Recogida",2011-04-06,455301,3098319
"Captura",2011-04-07,455441,3098269
"Captura",2011-04-07,455321,3098244
"Captura",2011-04-07,455326,3098221
"Captura",2011-04-07,434860,3111403
"Captura",2011-04-07,432722,3110995.01
"Recogida",2011-04-07,454902,3098264
"Recogida",2011-04-07,454910,3098265
"Recogida",2011-04-07,454928,3098262.01
"Captura",2011-04-07,432751,3110959
"Captura",2011-04-08,454567,3098309
"Recogida",2011-04-10,432342,3114508
"Recogida",2011-04-11,455002,3097835
"Captura",2011-04-11,455440,3098353
"Captura",2011-04-12,455522,3098271
"Recogida",2011-04-12,456088,3098418
"Captura",2011-04-13,455485,3098255
"Captura",2011-04-13,455274,3098220
"Captura",2011-04-13,455307,3098279
"Captura",2011-04-13,454405,3098060.01
"Recogida",2011-04-13,455404,3098176
"Recogida",2011-04-13,432534,3111035
"Recogida",2011-04-13,434598,3112784
"Captura",2011-04-14,432734,3110927
"Captura",2011-04-14,432734,3110928
"Captura",2011-04-14,455471,3098260
"Captura",2011-04-14,455520,3098283
"Captura",2011-04-14,454842,3098242
"Captura",2011-04-14,454477,3098309
"Captura",2011-04-14,454802,3098251
"Captura",2011-04-14,455226,3098172
"Captura",2011-04-14,455666,3098249
"Recogida",2011-04-14,454536,3098088
"Captura",2011-04-16,454702,3098016
"Captura",2011-04-16,454599,3098049
"Recogida",2011-04-16,455288,3098392
"Recogida",2011-04-16,455064,3098259
"Recogida",2011-04-16,453872.01,3108687.01
"Captura",2011-04-17,431969.04,3114241.66
"Captura",2011-04-17,434616,3112455
"Recogida",2011-04-17,432604,3111199.01
"Recogida",2011-04-17,433757,3110629
"Captura",2011-04-18,455292,3098325
"Recogida",2011-04-18,455390,3098287
"Recogida",2011-04-18,455321,3098171
"Recogida",2011-04-18,451335,3099830
"Captura",2011-04-18,431767,3114052
"Captura",2011-04-19,455287,3098280
"Captura",2011-04-19,455225,3098326
"Captura",2011-04-19,455225,3098181
"Captura",2011-04-19,432726,3110979
"Captura",2011-04-19,432731,3111014
"Captura",2011-04-19,432737,3111003
"Recogida",2011-04-19,455193,3098180
"Recogida",2011-04-19,454886,3097847
"Recogida",2011-04-20,453760,3097959
"Captura",2011-04-21,432726,3110979
"Recogida",2011-04-21,458203,3098716
"Captura",2011-04-22,454944.13,3097969.62
"Recogida",2011-04-22,455646,3098284
"Recogida",2011-04-23,455579,3098318
"Recogida",2011-04-23,454893,3097957
"Captura",2011-04-24,454819.36,3098270.79
"Captura",2011-04-24,454821.73,3098272.38
"Captura",2011-04-24,454830.24,3098279.25
"Captura",2011-04-24,454830.24,3098279.25
"Captura",2011-04-24,454824.59,3098278.73
"Captura",2011-04-24,454819.4,3098279.29
"Captura",2011-04-24,454809.97,3098280.92
"Captura",2011-04-25,455309.33,3098290.73
"Captura",2011-04-25,455309.33,3098290.73
"Captura",2011-04-25,455288.98,3098270.63
"Captura",2011-04-25,455288.98,3098270.63
"Captura",2011-04-25,455290.46,3098288.68
"Captura",2011-04-25,454785.57,3098186.45
"Captura",2011-04-25,454808.56,3098280.39
"Captura",2011-04-25,454808.56,3098280.39
"Captura",2011-04-25,455449,3098240
"Captura",2011-04-25,433111,3110505
"Captura",2011-04-25,433111,3110505
"Captura",2011-04-25,455328,3098195
"Captura",2011-04-25,454844,3098284
"Captura",2011-04-25,454806,3098308
"Captura",2011-04-25,455434,3098259
"Captura",2011-04-25,454863,3098252
"Captura",2011-04-26,455283,3098315
"Captura",2011-04-26,455326,3098331.01
"Captura",2011-04-26,455405,3098228
"Captura",2011-04-26,455307,3098266
"Captura",2011-04-26,432726,3110904.01
"Captura",2011-04-27,455425.62,3098243.55
"Captura",2011-04-27,455418.52,3098239.86
"Captura",2011-04-27,455397.31,3098239.93
"Captura",2011-04-27,455420,3098230
"Captura",2011-04-27,455341,3098325
"Captura",2011-04-28,455300,3098363
"Captura",2011-04-28,454769,3098300
"Captura",2011-04-28,454739,3098316
"Captura",2011-04-28,454741,3098295
"Captura",2011-04-28,455313,3098235
"Captura",2011-04-28,454899.01,3097869.01
"Recogida",2011-04-29,455177,3098197
"Captura",2011-04-29,455216,3098417
"Captura",2011-04-30,432686,3110848
"Captura",2011-04-30,455332,3098194.01
"Recogida",2011-04-30,430711.01,3108627
"Captura",2011-05-02,455293.21,3098265.82
"Captura",2011-05-02,455293.21,3098265.82
"Captura",2011-05-02,455321,3098252.01
"Captura",2011-05-02,455322,3098219
"Captura",2011-05-02,455310,3098344
"Captura",2011-05-02,455492,3098276
"Captura",2011-05-02,455444,3098174
